id ; iName ; eng ; jpn ; tchi ; schi ; kor ; fre ; ger ; spa ; ita ; dut ; rus ; color ; 
2C6B ; BottomsTexPantsNormalCroppedsweat7 ; three-quarter sweatpants ; フィットネススウェットパンツ ; 運動棉褲 ; 健身棉质裤 ; 피트니스 스웨트 팬츠 ; pantacourt de jogging ; 7/8-Sofahose ; pirata gimnasio ; pinocchietto sportivo ; driekwartjoggingbroek ; трикотажн. брюки капри ; Purple
222D ; BottomsTexSkirtLongTiedye1 ; tie-dye skirt ; タイダイスカート ; 紮染裙子 ; 扎染长裙 ; 타이다이 스커트 ; jupe tie and dye ; Batikrock ; falda hippy ; gonna batik ; tie-⁠dye-rok ; юбка из батика ; Blue
222E ; BottomsTexSkirtLongTiedye2 ; tie-dye skirt ; タイダイスカート ; 紮染裙子 ; 扎染长裙 ; 타이다이 스커트 ; jupe tie and dye ; Batikrock ; falda hippy ; gonna batik ; tie-⁠dye-rok ; юбка из батика ; Green
222F ; BottomsTexSkirtLongTiedye3 ; tie-dye skirt ; タイダイスカート ; 紮染裙子 ; 扎染长裙 ; 타이다이 스커트 ; jupe tie and dye ; Batikrock ; falda hippy ; gonna batik ; tie-⁠dye-rok ; юбка из батика ; Purple
2230 ; BottomsTexSkirtLongTiedye4 ; tie-dye skirt ; タイダイスカート ; 紮染裙子 ; 扎染长裙 ; 타이다이 스커트 ; jupe tie and dye ; Batikrock ; falda hippy ; gonna batik ; tie-⁠dye-rok ; юбка из батика ; Orange
16C2 ; BottomsTexSkirtLongTiedye0 ; tie-dye skirt ; タイダイスカート ; 紮染裙子 ; 扎染长裙 ; 타이다이 스커트 ; jupe tie and dye ; Batikrock ; falda hippy ; gonna batik ; tie-⁠dye-rok ; юбка из батика ; Red
1196 ; BottomsTexSkirtLongTiered0 ; tiered skirt ; ティアードスカート ; 蛋糕裙 ; 三节裙 ; 티어드 스커트 ; jupe bohème ; Stufenrock ; falda escalonada ; gonna a strati ; gelaagde rok ; ярусная юбка ; Purple
220D ; BottomsTexSkirtLongTiered1 ; tiered skirt ; ティアードスカート ; 蛋糕裙 ; 三节裙 ; 티어드 스커트 ; jupe bohème ; Stufenrock ; falda escalonada ; gonna a strati ; gelaagde rok ; ярусная юбка ; Mint
220E ; BottomsTexSkirtLongTiered2 ; tiered skirt ; ティアードスカート ; 蛋糕裙 ; 三节裙 ; 티어드 스커트 ; jupe bohème ; Stufenrock ; falda escalonada ; gonna a strati ; gelaagde rok ; ярусная юбка ; Avocado
220F ; BottomsTexSkirtLongTiered3 ; tiered skirt ; ティアードスカート ; 蛋糕裙 ; 三节裙 ; 티어드 스커트 ; jupe bohème ; Stufenrock ; falda escalonada ; gonna a strati ; gelaagde rok ; ярусная юбка ; Yellow
2210 ; BottomsTexSkirtLongTiered4 ; tiered skirt ; ティアードスカート ; 蛋糕裙 ; 三节裙 ; 티어드 스커트 ; jupe bohème ; Stufenrock ; falda escalonada ; gonna a strati ; gelaagde rok ; ярусная юбка ; Blue
2441 ; BottomsTexPantsWideTeared1 ; torn pants ; やぶれたズボン ; 破爛褲子 ; 破旧裤子 ; 뜯어진 바지 ; pantalon déchiré ; Lumpenhose ; pantalón desgarrado ; pantalone strappato ; kapotte broek ; порванные брюки ; Black
2442 ; BottomsTexPantsWideTeared2 ; torn pants ; やぶれたズボン ; 破爛褲子 ; 破旧裤子 ; 뜯어진 바지 ; pantalon déchiré ; Lumpenhose ; pantalón desgarrado ; pantalone strappato ; kapotte broek ; порванные брюки ; Gray
1645 ; BottomsTexPantsWideTeared0 ; torn pants ; やぶれたズボン ; 破爛褲子 ; 破旧裤子 ; 뜯어진 바지 ; pantalon déchiré ; Lumpenhose ; pantalón desgarrado ; pantalone strappato ; kapotte broek ; порванные брюки ; Brown
2C14 ; BottomsTexPantsNormalSportsjersey1 ; track pants ; スポーツジャージのズボン ; 體育運動褲 ; 体育运动裤 ; 스포츠 트레이닝복 바지 ; pantalon survêt de sport ; Aufwärmhose ; pantalón de chándal urbano ; pantalone da ginnastica ; atletiekbroek ; штаны для бега ; Gray
2C15 ; BottomsTexPantsNormalSportsjersey2 ; track pants ; スポーツジャージのズボン ; 體育運動褲 ; 体育运动裤 ; 스포츠 트레이닝복 바지 ; pantalon survêt de sport ; Aufwärmhose ; pantalón de chándal urbano ; pantalone da ginnastica ; atletiekbroek ; штаны для бега ; White
2C16 ; BottomsTexPantsNormalSportsjersey3 ; track pants ; スポーツジャージのズボン ; 體育運動褲 ; 体育运动裤 ; 스포츠 트레이닝복 바지 ; pantalon survêt de sport ; Aufwärmhose ; pantalón de chándal urbano ; pantalone da ginnastica ; atletiekbroek ; штаны для бега ; Red
2C17 ; BottomsTexPantsNormalSportsjersey4 ; track pants ; スポーツジャージのズボン ; 體育運動褲 ; 体育运动裤 ; 스포츠 트레이닝복 바지 ; pantalon survêt de sport ; Aufwärmhose ; pantalón de chándal urbano ; pantalone da ginnastica ; atletiekbroek ; штаны для бега ; Light blue
2C18 ; BottomsTexPantsNormalSportsjersey5 ; track pants ; スポーツジャージのズボン ; 體育運動褲 ; 体育运动裤 ; 스포츠 트레이닝복 바지 ; pantalon survêt de sport ; Aufwärmhose ; pantalón de chándal urbano ; pantalone da ginnastica ; atletiekbroek ; штаны для бега ; Green
2C19 ; BottomsTexPantsNormalSportsjersey6 ; track pants ; スポーツジャージのズボン ; 體育運動褲 ; 体育运动裤 ; 스포츠 트레이닝복 바지 ; pantalon survêt de sport ; Aufwärmhose ; pantalón de chándal urbano ; pantalone da ginnastica ; atletiekbroek ; штаны для бега ; Blue
0D07 ; BottomsTexPantsNormalSportsjersey0 ; track pants ; スポーツジャージのズボン ; 體育運動褲 ; 体育运动裤 ; 스포츠 트레이닝복 바지 ; pantalon survêt de sport ; Aufwärmhose ; pantalón de chándal urbano ; pantalone da ginnastica ; atletiekbroek ; штаны для бега ; Navy blue
1524 ; BottomsTexPantsNormalMonpe0 ; traditional monpe pants ; もんぺ ; 束口燈籠褲 ; 花裤 ; 일 바지 ; pantalon monpe ; Monpe-Arbeitshose ; pantalón monpe ; pantalone monpe ; klassieke monpe-broek ; шаровары ; Dark blue
23D1 ; BottomsTexPantsNormalMonpe1 ; traditional monpe pants ; もんぺ ; 束口燈籠褲 ; 花裤 ; 일 바지 ; pantalon monpe ; Monpe-Arbeitshose ; pantalón monpe ; pantalone monpe ; klassieke monpe-broek ; шаровары ; Blue
23D2 ; BottomsTexPantsNormalMonpe2 ; traditional monpe pants ; もんぺ ; 束口燈籠褲 ; 花裤 ; 일 바지 ; pantalon monpe ; Monpe-Arbeitshose ; pantalón monpe ; pantalone monpe ; klassieke monpe-broek ; шаровары ; Golden yellow
23D3 ; BottomsTexPantsNormalMonpe3 ; traditional monpe pants ; もんぺ ; 束口燈籠褲 ; 花裤 ; 일 바지 ; pantalon monpe ; Monpe-Arbeitshose ; pantalón monpe ; pantalone monpe ; klassieke monpe-broek ; шаровары ; Dark red
23D4 ; BottomsTexPantsWideSuteteko1 ; traditional suteteko pants ; ステテコ ; 格子褲 ; 格子裤 ; 실내용 5부 바지 ; pantalon suteteko ; Suteteko-Hose ; pantalón suteteko ; pantalone suteteko ; klassieke suteteko-broek ; длинные свободн. шорты ; Yellow-green
23D5 ; BottomsTexPantsWideSuteteko2 ; traditional suteteko pants ; ステテコ ; 格子褲 ; 格子裤 ; 실내용 5부 바지 ; pantalon suteteko ; Suteteko-Hose ; pantalón suteteko ; pantalone suteteko ; klassieke suteteko-broek ; длинные свободн. шорты ; Golden yellow
23D6 ; BottomsTexPantsWideSuteteko3 ; traditional suteteko pants ; ステテコ ; 格子褲 ; 格子裤 ; 실내용 5부 바지 ; pantalon suteteko ; Suteteko-Hose ; pantalón suteteko ; pantalone suteteko ; klassieke suteteko-broek ; длинные свободн. шорты ; Purple
23D7 ; BottomsTexPantsWideSuteteko4 ; traditional suteteko pants ; ステテコ ; 格子褲 ; 格子裤 ; 실내용 5부 바지 ; pantalon suteteko ; Suteteko-Hose ; pantalón suteteko ; pantalone suteteko ; klassieke suteteko-broek ; длинные свободн. шорты ; Aqua
23D8 ; BottomsTexPantsWideSuteteko5 ; traditional suteteko pants ; ステテコ ; 格子褲 ; 格子裤 ; 실내용 5부 바지 ; pantalon suteteko ; Suteteko-Hose ; pantalón suteteko ; pantalone suteteko ; klassieke suteteko-broek ; длинные свободн. шорты ; Blue
1554 ; BottomsTexPantsWideSuteteko0 ; traditional suteteko pants ; ステテコ ; 格子褲 ; 格子裤 ; 실내용 5부 바지 ; pantalon suteteko ; Suteteko-Hose ; pantalón suteteko ; pantalone suteteko ; klassieke suteteko-broek ; длинные свободн. шорты ; Red
114C ; BottomsTexSkirtAlineTweedfrill0 ; tweed frilly skirt ; ツイードフリルスカート ; 斜紋軟呢蓬蓬裙 ; 粗花呢蛋糕蓬蓬裙 ; 트위드 프릴 스커트 ; jupe en tweed à volant ; Tweed-Volantrock ; falda de tweed con lazo ; gonna vezzosa di tweed ; tweed-ruchesrokje ; твидовая юбка с оборками ; Brown
22CC ; BottomsTexSkirtAlineTweedfrill1 ; tweed frilly skirt ; ツイードフリルスカート ; 斜紋軟呢蓬蓬裙 ; 粗花呢蛋糕蓬蓬裙 ; 트위드 프릴 스커트 ; jupe en tweed à volant ; Tweed-Volantrock ; falda de tweed con lazo ; gonna vezzosa di tweed ; tweed-ruchesrokje ; твидовая юбка с оборками ; Gray
22CD ; BottomsTexSkirtAlineTweedfrill2 ; tweed frilly skirt ; ツイードフリルスカート ; 斜紋軟呢蓬蓬裙 ; 粗花呢蛋糕蓬蓬裙 ; 트위드 프릴 스커트 ; jupe en tweed à volant ; Tweed-Volantrock ; falda de tweed con lazo ; gonna vezzosa di tweed ; tweed-ruchesrokje ; твидовая юбка с оборками ; Pink
22CE ; BottomsTexSkirtAlineTweedfrill3 ; tweed frilly skirt ; ツイードフリルスカート ; 斜紋軟呢蓬蓬裙 ; 粗花呢蛋糕蓬蓬裙 ; 트위드 프릴 스커트 ; jupe en tweed à volant ; Tweed-Volantrock ; falda de tweed con lazo ; gonna vezzosa di tweed ; tweed-ruchesrokje ; твидовая юбка с оборками ; Blue
2C7A ; BottomsTexPantsWideTweed1 ; tweed pants ; ツイードパンツ ; 斜紋軟呢褲 ; 粗花呢裤 ; 트위드 바지 ; pantalon en tweed ; Tweedhose ; pantalón de tweed ; pantalone di tweed ; tweedbroek ; твидовые брюки ; Blue
2C7B ; BottomsTexPantsWideTweed2 ; tweed pants ; ツイードパンツ ; 斜紋軟呢褲 ; 粗花呢裤 ; 트위드 바지 ; pantalon en tweed ; Tweedhose ; pantalón de tweed ; pantalone di tweed ; tweedbroek ; твидовые брюки ; Beige
2C7C ; BottomsTexPantsWideTweed3 ; tweed pants ; ツイードパンツ ; 斜紋軟呢褲 ; 粗花呢裤 ; 트위드 바지 ; pantalon en tweed ; Tweedhose ; pantalón de tweed ; pantalone di tweed ; tweedbroek ; твидовые брюки ; Berry red
2C7D ; BottomsTexPantsWideTweed4 ; tweed pants ; ツイードパンツ ; 斜紋軟呢褲 ; 粗花呢裤 ; 트위드 바지 ; pantalon en tweed ; Tweedhose ; pantalón de tweed ; pantalone di tweed ; tweedbroek ; твидовые брюки ; Green
0E7C ; BottomsTexPantsWideTweed0 ; tweed pants ; ツイードパンツ ; 斜紋軟呢褲 ; 粗花呢裤 ; 트위드 바지 ; pantalon en tweed ; Tweedhose ; pantalón de tweed ; pantalone di tweed ; tweedbroek ; твидовые брюки ; Brown
2C7E ; BottomsTexPantsWideTweed5 ; tweed pants ; ツイードパンツ ; 斜紋軟呢褲 ; 粗花呢裤 ; 트위드 바지 ; pantalon en tweed ; Tweedhose ; pantalón de tweed ; pantalone di tweed ; tweedbroek ; твидовые брюки ; Pink
0CE1 ; BottomsTexSkirtAlineTweed0 ; tweed skirt ; ツイードスカート ; 斜紋軟呢裙 ; 粗花呢裙 ; 트위드 치마 ; jupe en tweed ; Tweed-Rock ; falda de tweed ; gonna di tweed ; tweedrokje ; твидовая юбка ; Yellow
2D92 ; BottomsTexSkirtAlineTweed1 ; tweed skirt ; ツイードスカート ; 斜紋軟呢裙 ; 粗花呢裙 ; 트위드 치마 ; jupe en tweed ; Tweed-Rock ; falda de tweed ; gonna di tweed ; tweedrokje ; твидовая юбка ; Pink
2D93 ; BottomsTexSkirtAlineTweed2 ; tweed skirt ; ツイードスカート ; 斜紋軟呢裙 ; 粗花呢裙 ; 트위드 치마 ; jupe en tweed ; Tweed-Rock ; falda de tweed ; gonna di tweed ; tweedrokje ; твидовая юбка ; Blue
1057 ; BottomsTexPantsNormalTwotoneYellow ; two-tone pants ; ツートンなズボン ; 撞色褲 ; 口袋撞色裤 ; 투톤 바지 ; pantalon bicolore ; Zweifarbhose ; pantalón bicolor ; pantalone bicolore ; tweekleurige broek ; двухцветные брюки ; Yellow
1058 ; BottomsTexPantsNormalTwotoneRed ; two-tone pants ; ツートンなズボン ; 撞色褲 ; 口袋撞色裤 ; 투톤 바지 ; pantalon bicolore ; Zweifarbhose ; pantalón bicolor ; pantalone bicolore ; tweekleurige broek ; двухцветные брюки ; Red
1059 ; BottomsTexPantsNormalTwotoneBlue ; two-tone pants ; ツートンなズボン ; 撞色褲 ; 口袋撞色裤 ; 투톤 바지 ; pantalon bicolore ; Zweifarbhose ; pantalón bicolor ; pantalone bicolore ; tweekleurige broek ; двухцветные брюки ; Blue
0CF5 ; BottomsTexPantsNormalTwotoneMonochrome ; two-tone pants ; ツートンなズボン ; 撞色褲 ; 口袋撞色裤 ; 투톤 바지 ; pantalon bicolore ; Zweifarbhose ; pantalón bicolor ; pantalone bicolore ; tweekleurige broek ; двухцветные брюки ; Monotone
1549 ; BottomsTexSkirtAlineShabby0 ; upcycled skirt ; シャビーなスカート ; 拼接裙 ; 拼接裙 ; 쉐비 스커트 ; jupe recyclée ; Upcycle-Rock ; falda de supraciclaje ; gonna riciclata ; kringlooprok ; юбка из вторсырья ; Beige
22D6 ; BottomsTexSkirtAlineShabby1 ; upcycled skirt ; シャビーなスカート ; 拼接裙 ; 拼接裙 ; 쉐비 스커트 ; jupe recyclée ; Upcycle-Rock ; falda de supraciclaje ; gonna riciclata ; kringlooprok ; юбка из вторсырья ; Pink
22D7 ; BottomsTexSkirtAlineShabby2 ; upcycled skirt ; シャビーなスカート ; 拼接裙 ; 拼接裙 ; 쉐비 스커트 ; jupe recyclée ; Upcycle-Rock ; falda de supraciclaje ; gonna riciclata ; kringlooprok ; юбка из вторсырья ; Mint
238C ; BottomsTexPantsHalfEthnic2 ; vibrant shorts ; エスニックパンツ ; 民族風褲子 ; 民族风裤子 ; 에스닉 바지 ; bermuda chamarré ; Ethno-Shorts ; bermuda playera ; pantaloncino folcloristico ; bonte bermuda ; пестрые шорты ; Pink
238D ; BottomsTexPantsHalfEthnic3 ; vibrant shorts ; エスニックパンツ ; 民族風褲子 ; 民族风裤子 ; 에스닉 바지 ; bermuda chamarré ; Ethno-Shorts ; bermuda playera ; pantaloncino folcloristico ; bonte bermuda ; пестрые шорты ; Blue
238E ; BottomsTexPantsHalfEthnic4 ; vibrant shorts ; エスニックパンツ ; 民族風褲子 ; 民族风裤子 ; 에스닉 바지 ; bermuda chamarré ; Ethno-Shorts ; bermuda playera ; pantaloncino folcloristico ; bonte bermuda ; пестрые шорты ; Black
1187 ; BottomsTexPantsHalfEthnic0 ; vibrant shorts ; エスニックパンツ ; 民族風褲子 ; 民族风裤子 ; 에스닉 바지 ; bermuda chamarré ; Ethno-Shorts ; bermuda playera ; pantaloncino folcloristico ; bonte bermuda ; пестрые шорты ; Orange
238B ; BottomsTexPantsHalfEthnic1 ; vibrant shorts ; エスニックパンツ ; 民族風褲子 ; 民族风裤子 ; 에스닉 바지 ; bermuda chamarré ; Ethno-Shorts ; bermuda playera ; pantaloncino folcloristico ; bonte bermuda ; пестрые шорты ; Avocado
0D87 ; BottomsTexPantsWideCowboyBrown ; western pants ; カウボーイパンツ ; 西部牛仔褲 ; 西部牛仔裤 ; 카우보이 바지 ; pantalon western ; Western-Hose ; pantalón de vaquero ; pantalone da cowboy ; westernbroek ; ковбойские брюки ; Brown
2B8E ; BottomsTexPantsWideChino1 ; wide chino pants ; ワイドチノ ; 卡其寬褲 ; 反折直筒裤 ; 와이드 치노 ; pantalon large en toile ; Outdoor-Chino ; pantalón chino holgado ; pantalone chino largo ; wijdepijpenchino ; широкие брюки из хлопка ; Beige
2B8F ; BottomsTexPantsWideChino2 ; wide chino pants ; ワイドチノ ; 卡其寬褲 ; 反折直筒裤 ; 와이드 치노 ; pantalon large en toile ; Outdoor-Chino ; pantalón chino holgado ; pantalone chino largo ; wijdepijpenchino ; широкие брюки из хлопка ; Navy blue
2B90 ; BottomsTexPantsWideChino3 ; wide chino pants ; ワイドチノ ; 卡其寬褲 ; 反折直筒裤 ; 와이드 치노 ; pantalon large en toile ; Outdoor-Chino ; pantalón chino holgado ; pantalone chino largo ; wijdepijpenchino ; широкие брюки из хлопка ; Avocado
2B91 ; BottomsTexPantsWideChino4 ; wide chino pants ; ワイドチノ ; 卡其寬褲 ; 反折直筒裤 ; 와이드 치노 ; pantalon large en toile ; Outdoor-Chino ; pantalón chino holgado ; pantalone chino largo ; wijdepijpenchino ; широкие брюки из хлопка ; Gray
14A5 ; BottomsTexPantsWideChino0 ; wide chino pants ; ワイドチノ ; 卡其寬褲 ; 反折直筒裤 ; 와이드 치노 ; pantalon large en toile ; Outdoor-Chino ; pantalón chino holgado ; pantalone chino largo ; wijdepijpenchino ; широкие брюки из хлопка ; Brown
2C63 ; BottomsTexPantsNormalTraining1 ; workout pants ; ワークアウトパンツ ; 健身褲 ; 运动裤 ; 경기복 바지 ; pantalon de fitness ; Workout-Hose ; pantalón maratón ; pantalone da allenamento ; work-outlegging ; штаны для аэробики ; Pink
2C64 ; BottomsTexPantsNormalTraining2 ; workout pants ; ワークアウトパンツ ; 健身褲 ; 运动裤 ; 경기복 바지 ; pantalon de fitness ; Workout-Hose ; pantalón maratón ; pantalone da allenamento ; work-outlegging ; штаны для аэробики ; Orange
1659 ; BottomsTexPantsNormalTraining0 ; workout pants ; ワークアウトパンツ ; 健身褲 ; 运动裤 ; 경기복 바지 ; pantalon de fitness ; Workout-Hose ; pantalón maratón ; pantalone da allenamento ; work-outlegging ; штаны для аэробики ; Lime
109B ; BottomsTexPantsHotDenimholes0 ; worn-out cutoffs ; あなあきショートデニム ; 破洞牛仔短褲 ; 破洞牛仔短裤 ; 찢어진 데님 숏팬츠 ; mini-short en jean troué ; Fetzenjeansshorts ; minipantalón agujereado ; paio di jeans corti strappati ; versleten denim short ; поношенные шорты ; Light blue
2CAA ; BottomsTexPantsHotDenimholes1 ; worn-out cutoffs ; あなあきショートデニム ; 破洞牛仔短褲 ; 破洞牛仔短裤 ; 찢어진 데님 숏팬츠 ; mini-short en jean troué ; Fetzenjeansshorts ; minipantalón agujereado ; paio di jeans corti strappati ; versleten denim short ; поношенные шорты ; Blue
2CAB ; BottomsTexPantsHotDenimholes2 ; worn-out cutoffs ; あなあきショートデニム ; 破洞牛仔短褲 ; 破洞牛仔短裤 ; 찢어진 데님 숏팬츠 ; mini-short en jean troué ; Fetzenjeansshorts ; minipantalón agujereado ; paio di jeans corti strappati ; versleten denim short ; поношенные шорты ; White
2CAC ; BottomsTexPantsHotDenimholes3 ; worn-out cutoffs ; あなあきショートデニム ; 破洞牛仔短褲 ; 破洞牛仔短裤 ; 찢어진 데님 숏팬츠 ; mini-short en jean troué ; Fetzenjeansshorts ; minipantalón agujereado ; paio di jeans corti strappati ; versleten denim short ; поношенные шорты ; Black
0CF1 ; BottomsTexPantsNormalDenimholes0 ; worn-out jeans ; あなあきデニム ; 破洞牛仔褲 ; 破洞牛仔裤 ; 찢어진 데님 바지 ; pantalon jean usé ; Fetzenjeanshose ; pantalón agujereado ; paio di jeans strappati ; versleten jeans ; поношенные джинсы ; Light blue
2CA3 ; BottomsTexPantsNormalDenimholes1 ; worn-out jeans ; あなあきデニム ; 破洞牛仔褲 ; 破洞牛仔裤 ; 찢어진 데님 바지 ; pantalon jean usé ; Fetzenjeanshose ; pantalón agujereado ; paio di jeans strappati ; versleten jeans ; поношенные джинсы ; Blue
2CA4 ; BottomsTexPantsNormalDenimholes2 ; worn-out jeans ; あなあきデニム ; 破洞牛仔褲 ; 破洞牛仔裤 ; 찢어진 데님 바지 ; pantalon jean usé ; Fetzenjeanshose ; pantalón agujereado ; paio di jeans strappati ; versleten jeans ; поношенные джинсы ; White
2CA5 ; BottomsTexPantsNormalDenimholes3 ; worn-out jeans ; あなあきデニム ; 破洞牛仔褲 ; 破洞牛仔裤 ; 찢어진 데님 바지 ; pantalon jean usé ; Fetzenjeanshose ; pantalón agujereado ; paio di jeans strappati ; versleten jeans ; поношенные джинсы ; Black
1112 ; BottomsTexPantsHotYacht0 ; yacht shorts ; ヨットのショートパンツ ; 帆船短褲 ; 帆船图案短裤 ; 요트 숏팬츠 ; short voiliers ; Jacht-Shorts ; minipantalón yates ; pantaloncino da yacht ; zeilshort ; летние шорты ; Light blue
229D ; BottomsTexPantsHotYacht1 ; yacht shorts ; ヨットのショートパンツ ; 帆船短褲 ; 帆船图案短裤 ; 요트 숏팬츠 ; short voiliers ; Jacht-Shorts ; minipantalón yates ; pantaloncino da yacht ; zeilshort ; летние шорты ; Red
229E ; BottomsTexPantsHotYacht2 ; yacht shorts ; ヨットのショートパンツ ; 帆船短褲 ; 帆船图案短裤 ; 요트 숏팬츠 ; short voiliers ; Jacht-Shorts ; minipantalón yates ; pantaloncino da yacht ; zeilshort ; летние шорты ; Pink
229F ; BottomsTexPantsHotYacht3 ; yacht shorts ; ヨットのショートパンツ ; 帆船短褲 ; 帆船图案短裤 ; 요트 숏팬츠 ; short voiliers ; Jacht-Shorts ; minipantalón yates ; pantaloncino da yacht ; zeilshort ; летние шорты ; Purple
2AB5 ; CapHatAcorn1 ; acorn knit cap ; どんぐりニット ; 尖頂針織帽 ; 尖顶针织帽 ; 도토리 털모자 ; bonnet gland tricoté ; Eichelstrickmütze ; gorro bellota ; cappellino ghianda di lana ; gebreide eikelmuts ; вязаная шапка-желудь ; Mustard
2AB6 ; CapHatAcorn2 ; acorn knit cap ; どんぐりニット ; 尖頂針織帽 ; 尖顶针织帽 ; 도토리 털모자 ; bonnet gland tricoté ; Eichelstrickmütze ; gorro bellota ; cappellino ghianda di lana ; gebreide eikelmuts ; вязаная шапка-желудь ; Avocado
2AB7 ; CapHatAcorn3 ; acorn knit cap ; どんぐりニット ; 尖頂針織帽 ; 尖顶针织帽 ; 도토리 털모자 ; bonnet gland tricoté ; Eichelstrickmütze ; gorro bellota ; cappellino ghianda di lana ; gebreide eikelmuts ; вязаная шапка-желудь ; Berry red
2AB8 ; CapHatAcorn4 ; acorn knit cap ; どんぐりニット ; 尖頂針織帽 ; 尖顶针织帽 ; 도토리 털모자 ; bonnet gland tricoté ; Eichelstrickmütze ; gorro bellota ; cappellino ghianda di lana ; gebreide eikelmuts ; вязаная шапка-желудь ; Navy blue
2AB9 ; CapHatAcorn5 ; acorn knit cap ; どんぐりニット ; 尖頂針織帽 ; 尖顶针织帽 ; 도토리 털모자 ; bonnet gland tricoté ; Eichelstrickmütze ; gorro bellota ; cappellino ghianda di lana ; gebreide eikelmuts ; вязаная шапка-желудь ; Cream
14C3 ; CapHatAcorn0 ; acorn knit cap ; どんぐりニット ; 尖頂針織帽 ; 尖顶针织帽 ; 도토리 털모자 ; bonnet gland tricoté ; Eichelstrickmütze ; gorro bellota ; cappellino ghianda di lana ; gebreide eikelmuts ; вязаная шапка-желудь ; Chestnut
2E6C ; CapHatTyrolean1 ; alpinist hat ; チロリアンハット ; 提洛爾帽子 ; 提洛尔帽子 ; 알프스풍 모자 ; chapeau tyrolien ; Gebirgshut ; sombrero tirolés ; cappello tirolese ; tirolerhoed ; горная шляпа ; Blue
2E6D ; CapHatTyrolean2 ; alpinist hat ; チロリアンハット ; 提洛爾帽子 ; 提洛尔帽子 ; 알프스풍 모자 ; chapeau tyrolien ; Gebirgshut ; sombrero tirolés ; cappello tirolese ; tirolerhoed ; горная шляпа ; Red
14AF ; CapHatTyrolean0 ; alpinist hat ; チロリアンハット ; 提洛爾帽子 ; 提洛尔帽子 ; 알프스풍 모자 ; chapeau tyrolien ; Gebirgshut ; sombrero tirolés ; cappello tirolese ; tirolerhoed ; горная шляпа ; Green
17A0 ; CapHatKanboBlack ; ancient administrator hat ; かんぼう ; 官帽 ; 乌纱帽 ; 관모 ; chapeau Wu Sha ; Wushamao ; gorro gestión imperial ; cappello imperiale ; oosterse hoed ; древняя шапка мандарина ; Black
268F ; CapHatApple0 ; apple hat ; リンゴのぼうし ; 蘋果帽子 ; 苹果帽子 ; 사과 모자 ; chapeau pomme ; Apfelhut ; gorro manzana ; berretto mela ; appelmuts ; шапка-яблоко ; Red
2F0D ; CapHatAlan1 ; Aran-knit cap ; アランニットぼう ; 手編阿倫花樣針織帽 ; 手编阿伦花样针织帽 ; 아란 니트 모자 ; bonnet tricoté Aran ; Aranmustermütze ; gorro de punto trenzado ; berretto Aran ; Aran-muts ; шапка аранской вязки ; Red
2F0E ; CapHatAlan2 ; Aran-knit cap ; アランニットぼう ; 手編阿倫花樣針織帽 ; 手编阿伦花样针织帽 ; 아란 니트 모자 ; bonnet tricoté Aran ; Aranmustermütze ; gorro de punto trenzado ; berretto Aran ; Aran-muts ; шапка аранской вязки ; Blue
2F0F ; CapHatAlan3 ; Aran-knit cap ; アランニットぼう ; 手編阿倫花樣針織帽 ; 手编阿伦花样针织帽 ; 아란 니트 모자 ; bonnet tricoté Aran ; Aranmustermütze ; gorro de punto trenzado ; berretto Aran ; Aran-muts ; шапка аранской вязки ; Green
2688 ; CapHatAlan0 ; Aran-knit cap ; アランニットぼう ; 手編阿倫花樣針織帽 ; 手编阿伦花样针织帽 ; 아란 니트 모자 ; bonnet tricoté Aran ; Aranmustermütze ; gorro de punto trenzado ; berretto Aran ; Aran-muts ; шапка аранской вязки ; White
2B2C ; CapHatBalloon3 ; balloon hat ; バルーンハット ; 氣球帽 ; 气球帽 ; 풍선 모자 ; chapeau ballons ; Ballonhut ; sombrero de globos ; cappello di palloncini ; ballonnenhoed ; шляпа из шариков ; Green
14DC ; CapHatBalloon0 ; balloon hat ; バルーンハット ; 氣球帽 ; 气球帽 ; 풍선 모자 ; chapeau ballons ; Ballonhut ; sombrero de globos ; cappello di palloncini ; ballonnenhoed ; шляпа из шариков ; Rainbow
2B2A ; CapHatBalloon1 ; balloon hat ; バルーンハット ; 氣球帽 ; 气球帽 ; 풍선 모자 ; chapeau ballons ; Ballonhut ; sombrero de globos ; cappello di palloncini ; ballonnenhoed ; шляпа из шариков ; Orange
2B2B ; CapHatBalloon2 ; balloon hat ; バルーンハット ; 氣球帽 ; 气球帽 ; 풍선 모자 ; chapeau ballons ; Ballonhut ; sombrero de globos ; cappello di palloncini ; ballonnenhoed ; шляпа из шариков ; Blue
1417 ; CapHatAjiroBeige ; bamboo hat ; かさぼうし ; 斗笠 ; 斗笠 ; 삼각 삿갓 ; nón lá ; Bambushut ; gorro de bambú cónico ; cappello di bambù ; bamboehoed ; бамбуковая шапочка ; Beige
2684 ; CapOrnamentTBarrette0 ; barrette ; バレッタ ; 髮夾 ; 发夹 ; 바레트 ; barrette ; Haarspange ; pasador ; barretta per capelli ; haarspeldje ; цветочная заколка ; Pink
2F3C ; CapHatBaseball1 ; baseball cap ; ベースボールキャップ ; 棒球帽 ; 棒球帽 ; 야구 모자 ; casquette de base-ball ; Baseballkappe ; gorra de béisbol ; cappellino da baseball ; honkbalpet ; бейсболка ; Navy blue
